URL,Post ID,Title,Price,Description,Days Posted,Date,Location,State,Keyword
https://sanantonio.craigslist.org/reo/7567057948.html,7567057948,Property1/3 acre with electric and RV (Lakehills),"$45,000","FOR SALE – Immediate Cash Sale	$45,000 	Easy Closing 	LAKEHILLS, TX 0.33 acres approx. 1/3 Acre / Beautiful View / Very Private / Great access With 10 x 57 Older style 1 bed room RV with 8 x 12 Storage Building / Mail box installed Property cleared ready to move on / Electric Service to be Installed (200 amp) pending BEC Live on while Building New Home or Rental Property existing RV. Improvements to complete – Septic System – Water Well Currently Temporary water supply from Neighbor Documents ready for septic and well submittal - Site sketch etc. Property Paid for no Liens - May consider Financing ?? For Info Call or Text  show contact info  or reply email",21,2022-12-11 20:14:40.863875,N/A,https://geo.craigslist.org/iso/us/tx,Apartment building
https://lubbock.craigslist.org/reo/7563687952.html,7563687952,Texas Apartment Complex (Odessa),N/A,"Willowbend Apartments is a 23 units, 2-story apartment complex located in Odessa, TX, headquarter for oil production in the Permian Basin. It is in a high traffic count area. It consists of one, two bedroom units with the average square footage of 600. Laundry room is on the site. Apartments are very well maintained: TPO new roof, new central A/C, new windows, new floor, and new paint. It's a great investment property you don't want to miss. Please call  show contact info  today for more information. Price $2.5M Building size 14042 SF",about a month ago,N/A,N/A,https://geo.craigslist.org/iso/us/tx,Apartment building
https://wichitafalls.craigslist.org/reo/7573661777.html,7573661777,Old Gas Station (Goree),"$49,900","**2 Bay Old Gas Station on 6 lots in Goree,Texas halfway between Wichita Falls and Ablene off SH 277. **The underground tanks have been removed and site given “all clear” by State agencies. **The building has 3 additional rooms with 2 outdoor old gas station bathrooms and 2 bays with roll up doors. **Possible owner financing with large down payment. Will give discount for CASH. **One of the sellers is a Texas Real Estate Broker.  **Call or text  show contact info  or  show contact info . Priced at $49,900.00",about 17 hours ago,N/A,Holly near 5 th,https://geo.craigslist.org/iso/us/tx,Apartment building
https://dallas.craigslist.org/mdf/reb/7573100035.html,7573100035,Off-market Commercial Building In Denton (Denton),"$2,500,000","~🎓Near 2 Major Universities (UNT & TWU) ~About 20,000 Sq. Ft. ~2001 Build w/ New Roof ~On about 2.33 Acres ~92 Parking Spaces ~1-Story ~First Come, First Serve (FCFS) ~💰Asking $125/Sq. Ft (=$2,500,000) ~Closing on or before January 31, 2023   📲DM/Call/Text Stacey at show contact info  if you're interested in more details!!! TX LIC# 770549| Broker #9004495   #DallasTX #dfwcommercial #investmentproperties #offmarketproperties #txinvestmentproperties #commercialrealestateforsale #commercialinvestment #commercialproperties #offmarketcommercial #commercialinvestmentproperties #commercialinvestor #dfwcommercialrealestate #dentontx #dentoncountycommercial #dentontxcommercial #dentontxcommercialinvestor #dentontxinvestor @everyone #1031exchange #1031exchangeinvestor #dentontxcommercialproper",3,2022-12-29 20:15:12.618493,N/A,https://geo.craigslist.org/iso/us/tx,Apartment building
https://odessa.craigslist.org/reo/7562915707.html,7562915707,"Texas Apartment Complex
            (google map)
        ",N/A,"Willowbend Apartments is a 23 units, 2-story apartment complex located in Odessa, TX, headquarter for oil production in the Permian Basin. It is in a high traffic count area. It consists of one, two bedroom units with the average square footage of 600. Laundry room is on the site. Apartments are very well maintained: TPO new roof, new central A/C, new windows, new floor, and new paint. It's a great investment property you don't want to miss. Please call  show contact info  today for more information. Price $2.5M Building size 14042 SF",about a month ago,N/A,N/A,https://geo.craigslist.org/iso/us/tx,Apartment building
https://austin.craigslist.org/reo/7570797284.html,7570797284,Multifamily Partnership | 9-Unit Building,N/A,"g for a partner to take on a 9-Unit building renovation - Cash Flow Opportunity  Plan to renovate the existing units top to bottom adding a bed and full bath creating (8) 3/2 finished units, and dividing the 2-bed unit into (2) 1/1 finished units. The exterior of the building will be fully renovated, including updating the landscape before leasing the building at top market rates.  Please send a direct contact number if you are interested in this opportunity!",11,2022-12-21 20:15:29.982181,N/A,https://geo.craigslist.org/iso/us/tx,Apartment building
https://dallas.craigslist.org/mdf/reo/7560217071.html,7560217071,"Black Black Friday Sale 5 Unit Apartment Building and Duplex Plans. (TX, Sell as condos or rent out)",N/A,"Black Friday Sale 5 Unit Apartment Building and Duplex Plans. (Copy and paste) video clip:  https://youtu.be/ruTcoygGgfc  Questions? Please use any contact form at: easybuildingplans.com   Building plans, income property, rentable property, investment real estate, cash flow, income stream, ADU, accessory dwelling u",about a month ago,N/A,N/A,https://geo.craigslist.org/iso/us/tx,Apartment building
https://dallas.craigslist.org/ndf/reb/7573485086.html,7573485086,"Commercial Properties  Industrial, Land (Denton, Gainesville, Carrollton Texas Other areas)",N/A,"No Realtors If you are working with a Realtor please disregard my ad.  All Commercial buyers must sign my Confidentiality Agreement before any business will begin  Denton, Gainesville, Argyle, Little Elm, Lewisville, Carrollton, Allen, Plano, and other surrounding areas   Auto repair shop  Seller financing  Land - 40 + Acres  Seller financing  No Restrictions  15 % Down  5 % Interest 5 Yr Balloon North of Denton Tx $ 1,240,000.00  Drive Thru Restaurant $ 3,000,000.00 860 SF NOI $ 150.000 Per Year North of Dallas Tx Triple NNN 20 Yr Lease 5.01 % Cap Rate   $3,483 SF  Built 2022  54 Unit Apartment Building  6,000 SF  $ 8,985,316.00 Denton Tx  Medical Office $ 4,975,000.00 24,863 SF Crossroads, Tx  Shopping Center   $ 21,000,000.00 126,000+ SF Carrollton, Tx  Convenience Store  $ 3,295,000.00 2400+ SF Denton Tx Building in a 500-year flood plain.  10% increase in base rent every 5 years.  Sound national credit tenant for buyers looking for 1031.    Texas Licensed Real Estate Broker AR Inc. Since 1982  Listings welcome and appreciated  We show properties 7 days a week and Holidays  by Appointm",a day ago,N/A,N/A,https://geo.craigslist.org/iso/us/tx,Apartment building
https://lawton.craigslist.org/reo/7566163392.html,7566163392,"Barn 20x20-30x30-30x40-40x40
            (google map)
        ",N/A,"frame buildings built with 4x4 posts on 10ft centers, 2x4 girts on 2 ft centers , 2x4 purlins on 2 ft centers , 29 gauge low rib sheet metal ran vertically, 3ft walk in door, insulation and 6 inch concrete slab included. 20x20 $14,500 30x30 $16,000 30x40 $19,500 40x40 $27,500",24,2022-12-08 20:15:52.486714,N/A,https://geo.craigslist.org/iso/us/tx,Apartment building
https://losangeles.craigslist.org/lac/reo/7566944910.html,7566944910,"BUSINESS OPPORTUNITY 13,810 SQ. FT. BUILDING FOR SALE OR LEASE (San Saba TX)","$300,000","608 S. Edgewood  San Saba  TX $300,000 OR Consider Long Term Profit sharing Lease (Lessee to Propose)  Spacious Building Great Potential to Be Converted into Any Number of Businesses    PROPERTY TAXES:      LOT SIZE:     1.937 Acres  FLOOR SPACE:     According to the San Saba CAD the building is 13,810 sq. ft. There is also a separate covered porch area with approximately 900 sq. ft.  DESCRIPTION:     This spacious building was once a nursing home and served the San Saba area for many years.  It has been out of use for several years and needs an owner with a vision to re-purpose the building and land area.  The building is in a “T” shape with long corridors and rooms on both sides of the corridors.  Since it was a nursing home, there are many rooms; approximately 40 residence rooms, a kitchen, dining area, bathrooms, storage closets, office & common areas.  The front wing of the building is the oldest and original portion.  It has a pier & beam foundation and the exterior is beautiful cut sandstone.  The back two wings are newer and on a concrete slab foundation with brick exteriors.  The area around the building includes a large paved parking area and a large grassy area for outdoor entertainment and enjoyment or expansion.  The property is currently zoned for commercial use, but if it needs to be re-zoned for other uses, the city of San Saba has expressed its willingness to work with new owners to put it back into use or even change the use.   Property has lots of potential to be converted into any number of businesses, storage units, apartments, condo complex, Up to 6 lots for small homes, RV parking, etc. or even a home like no one else has.",22,2022-12-10 20:16:04.427854,608 S. Edgewood,https://geo.craigslist.org/iso/us/tx,Apartment building
